Name,High School Attended,Hometown,POS,Rating
DeAndre Tucker,Akron Firestone Senior High School,"Akron, OH",DE,59
Dorian Myles,Hamburg Central High,"Hamburg, NY",RB,59
Grey Tompkins,Lemoore High School,"Lemoore, CA",OT,59
James Moore,McCluer North High School,"Florissant, MO",DE,59
Joe Johnson,Valley High School,"West Des Moines, IA",RB,59
Josh Johnson,L. V. Berkner High School,"Richardson, TX",RB,59
Justin Yamamoto,Iolani School,"Honolulu, HI",RB,59
Kenny Anderson,Monacan High School,"Richmond, VA",ILB,59
Koby Frye,Saint Mary's Central Catholic High,"Sandusky, OH",RB,59
Luke Solberg,Spring Lake Park High School,"Spring Lake Park, MN",OT,59
Marquis Davis,Sexton High School,"Lansing, MI",ILB,59
Michael Autwell,Midlothian High School,"Midlothian, TX",DE,59
Michael Becker,Ravenwood High School,"Brentwood, TN",QB,59
Mike Johns,Oak Forest High School,"Oak Forest, IL",DE,59
Neil Crook,West Albany High School,"Albany, OR",ILB,59
Nick Williams,Olathe North High School,"Olathe, KS",OLB,59
Sam Miller,Washington High School,"Washington, PA",OG,59
Shaahiyn Alston,Curtis High School,"Staten Island, NY",RB,59
Alante Womack,San Diego High School,"San Diego, CA",RB,60
Allen Hale,Midlothian High School,"Midlothian, TX",OG,60
Andy Burns,Rocky Mountain High School,"Fort Collins, CO",WR,60
Anthony Vivola,O'Dea High School,"Seattle, WA",DT,60
Asa Chapman,,"Orange, VA",DT(POST),60
Aubrey Moore,Red Land High School,"Lewisberry, PA",DT,60
Brett Moreno,Park Hill High School,"Kansas City, MO",WR,60
Cale Brooks,Westwood High School,"Palestine, TX",S,60
Carey Johnson,Del Campo High School,"Fair Oaks, CA",RB,60
Clay Swigert,Louisville High School,"Louisville, OH",OLB,60
Cody Connare,Olmsted Falls High School,"Olmsted, OH",DE,60
Danny Young,Los Altos High School,"Los Altos, CA",QB,60
Donavan Jefferson,Thomas Dale High School,"Chester, VA",WR,60
Elijah Jones,Lansingburgh High School,"Troy, NY",OLB,60
Ethan Tuftee,Assumption High School,"Davenport, IA",DT,60
Jimmy Davidson,Findlay High School,"Findlay, OH",WR,60
Joe Yanaitis,Churchville Chili High School,"North Chili, NY",DE,60
Jordan Simmons,Lees Summit North High School,"Lees Summit, KS",RB,60
Justin Webber,Sanger High School,"Sanger, CA",RB,60
Matt Brewer,Lafayette High School,"Wildwood, MO",ILB,60
Matt Jelmini,Clovis West High School,"Fresno, CA",RB,60
Matt Turituri,Wilcox High School,"Santa Clara, CA",DE,60
Michael Vigil,John F. Kennedy High School,"Burien, WA",OG,60
Nathan Austin,Barbe High School,"Lake Charles, LA",RB,60
Nick Heuser,Saint Xavier High School,"Louisville, KY",OLB,60
Rob Blundred,Oak Hills High School,"Cincinnati, OH",DE,60
Ryan Eastman,Saint Louis School,"Honolulu, HI",DT,60
Sam Eberle,Notre Dame School,"Chattanooga, TN",DE,60
Shae Selsor,Piqua High School,"Piqua, OH",DE,60
Steve Hengehold,Elder High School,"Cincinnati, OH",ILB,60
T.J. Viscuso,Lake High School,"Uniontown, OH",QB,60
Tiuke Tiupulotu,Serra High School,"San Mateo, CA",S,60
Tyler Jonas,Sidney High School,"Sidney, OH",FB,60
Tyler Tuiasosopo,Mariner High School,"Everett, WA",QB,60
Wilmaron Mosquera,Aldine High School,"Houston, TX",ILB,60
Zach Derby,West High School,"Iowa City, IA",ATH,60
Albert Fonteno,Westside High School,"Houston, TX",S,61
Alex Grunenwald,Merrill High School,"Merrill, WI",QB,61
Andrew Foley,Ankeny High School,"Ankeny, IA",ILB,61
Art Laurel,Leilehua High School,"Wahiawa, HI",OLB,61
C.J. Croft,Fort Campbell High School,"Fort Campbell, KY",QB,61
Chris Allen,Kentlake High School,"Kent, WA",RB,61
Cortez Paige,Langham Creek High,"Houston, TX",OLB,61
Damon Lambert,Euclid Senior High School,"Euclid, OH",ILB,61
Darnell Sapps Jr.,Milford Academy,"Syracuse, NY",WR(POST),61
David Rolf,Piqua High School,"Piqua, OH",WR,61
Durand Robertson,Fremont Ross High School,"Fremont, OH",ILB,61
Edgard Theliar,Manatee High School,"Bradenton, FL",WR,61
Eric Polen,Boardman High School,"Youngstown, OH",FB,61
James Brady,St. Anthony's High School,"Melville, NY",QB,61
James Thomas,Euclid Senior High School,"Euclid, OH",OLB,61
Jonathan Tristao,Hilmar High School,"Hilmar, CA",TE,61
Kale Gelles,Grapevine High School,"Grapevine, TX",OLB,61
Kent Viening,Grand Haven High School,"Grand Haven, MI",S,61
Klayton Kristick,Saint Mary's High School,"Phoenix, AZ",ILB,61
Langston Patterson,Langham Creek High,"Houston, TX",DT,61
Marcus Sims,Osseo Senior High School,"Osseo, MN",RB,61
Michael Anguiano,Nimitz High School,"Irving, TX",ILB,61
Mike Kindel,Springboro High School,"Springboro, OH",S,61
Mike Leavitt,Central Catholic High School,"Lawrence, MA",RB,61
Mitchell White,Stevenson High School,"Livonia, MI",QB,61
Nate Boland,Churchville Chili High School,"Churchville, NY",FB,61
Niccolo Mastromatteo,Walpole High School,"Walpole, MA",WR,61
Rob Look,Hillcrest High School,"Dallas, TX",OLB,61
Roberto Williams,Lancaster High School,"Lancaster, TX",S,61
Tommy Stewart,Sheldon High School,"Eugene, OR",QB,61
Trey Mays,Bishop Gorman High School,"Las Vegas, NV",WR,61
Troy Graham,Basha High School,"Chandler, AZ",QB,61
Aaron Rollin,Lee's Summit West High School,"Lee's Summit, MO",WR,62
Alex George,Beaver Area High School,"Beaver, PA",ATH,62
Anthony Rouba,Saint Laurence High School,"Burbank, IL",ILB,62
Bart Tanski,Mentor High School,"Mentor, OH",QB,62
Ben Pritchett,Belton High School,"Belton, MO",FB,62
Chase Hooper,Mayde Creek High,"Houston, TX",ILB,62
Christian Saddler,,"Syracuse, NY",CB(POST),62
Clay Cecil,Highlands High School,"Fort Thomas, KY",QB,62
Corey Harms,Healdsburg Senior High School,"Healdsburg, CA",QB,62
Damion Moore,West Side High School,"Newark, NJ",OLB,62
Dane Burk,The Colony High School,"The Colony, TX",OLB,62
Derek Bahri,Walled Lake Central High School,"Walled Lake, MI",S,62
Dorian Evans,Timber Creek Regional High School,"Erial, NJ",S,62
Drew Simons,Highlands High School,"Fort Thomas, KY",OLB,62
Durrell Parker,Wagoner High School,"Wagoner, OK",RB,62
Eddie Simmons,Kingsbury High School,"Memphis, TN",WR,62
Ennis Johnson,Armijo High School,"Suisan City, CA",OLB,62
Eric Smith,Edison High School,"Fresno, CA",OT,62
Ethan Magstadt,Maple Grove High School,"Maple Grove, MN",FB,62
Gabe Oliver,Susquehanna Township High School,"Harrisburg, PA",RB,62
Greg Hasse,Northville High School,"Northville, MI",ILB,62
Greg Henderson,Basic High School,"Henderson, NV",WR,62
Isaiah Ballard,Rogers High School,"Toledo, OH",RB,62
Jamie Hagan,Saint Marks High School,"Wilmington, DE",WR,62
Jarred Draper,South Panola High School,"Batesville, MS",DT,62
Jason Souva,Alpena High School,"Alpena, MI",OLB,62
Jeremi Mathis,Martin High School,"Arlington, TX",RB,62
John Dury,Bishop Chatard High School,"Indianapolis, IN",OLB,62
Justin Meehan,Elk Grove High School,"Elk Grove, CA",OLB,62
Justin Warner,Dowling Catholic High School,"West Des Moines, IA",OLB,62
Kalama Molisi,Skyline High School,"Salt Lake City, UT",RB,62
Kama Bailey,Damien Memorial High School,"Honolulu, HI",RB,62
Kellen Bartlett,Blue Springs South High School,"Blue Springs, MO",TE,62
Kierre Simmons,West Allegheny High School,"Imperial, PA",RB,62
Levor Ross,Gaffney High School,"Gaffney, SC",DT,62
Marcus Nelson,Bakersfield High School,"Bakersfield, CA",OLB,62
Marcus Wright,Paul L. Dunbar High School,"Dayton, OH",ATH,62
Matt Moran,Lincoln County High School,"Fayetteville, TN",ILB,62
Michael Alisa,Timpview High School,"Provo, UT",OLB,62
Nicholas Adzick,Kirkwood High School,"Kirkwood, MO",DE,62
Patrick Kivlehan,Saint Joseph Regional High School,"Montvale, NJ",S,62
Peter Becker,Liberty High School,"Renton, WA",OLB,62
Peyton Thompson,Granite Bay High School,"Granite Bay, CA",ATH,62
Raphael Washington,Saint Bonaventure High School,"Ventura, CA",TE,62
Rashun Dixon,Terry High School,"Terry, MS",WR,62
Robert Moore,Notre Dame De La Baie Academy,"Green Bay, WI",FB,62
Roland Nonu,Ingraham High School,"Seattle, WA",DT,62
Saheed Imoru,Hastings High School,"Houston, TX",RB,62
Siu Tafuna,Punahou School,"Honolulu, HI",OLB,62
Spencer Arns,Westview High School,"Portland, OR",S,62
Steve Spratte,Waukesha West High School,"Waukesha, WI",ATH,62
Steven Landon,Matoaca High School,"Chesterfield, VA",OT,62
Wesley Hingano,Sanger High School,"Sanger, CA",OG,62
Zack Shaver,Clovis High School,"Clovis, CA",OLB,62
Adrien Dotson,Mira Costa High School,"Manhattan Beach, CA",RB,63
Aylnde Armour,Loyola High School,"Los Angeles, CA",ILB,63
Brad Schaeffer,Kirkwood High School,"Kirkwood, MO",OG,63
Brandyn Harris,Monroe High School,"Monroe, MI",RB,63
Brennan Price,Air Academy High School,"Colorado Springs, CO",QB,63
Brett Jividen,Sahuaro High School,"Tucson, AZ",OG,63
Carter Bykowski,Eden Prairie High,"Eden Prairie, MN",TE,63
Cary Grossart,Folsom High School,"Folsom, CA",QB,63
Cedric Mauga,Eaglecrest High School,"Aurora, CO",DT,63
Chad Hounshell,Lake Catholic High School,"Mentor, OH",OT,63
Colby Cameron,Newbury Park High School,"Newbury Park, CA",QB,63
Cole Rasmussen,Galt Union High School,"Galt, CA",QB,63
Dan Atwood,Gaithersburg Senior High School,"Gaithersburg, MD",ATH,63
Dan Pitts,Ocean Lakes High School,"Virginia Beach, VA",QB,63
Danny Tharp,Bettendorf High School,"Bettendorf, IA",QB,63
Demarius Washington,Irving High School,"Irving, TX",WR,63
Devon Jennings,Euclid Senior High School,"Euclid, OH",S,63
Dominic Sebastiani,Moorestown High School,"Moorestown, NJ",FB,63
Fabrice Nolen,Mesquite High School,"Gilbert, AZ",S,63
Gabriel Clark,Black River High School,"Sullivan, OH",ILB,63
Greg Schuster,Clarkstown North High School,"New City, NY",FB,63
Greg Walker,Westlake High School,"Waldorf, MD",RB,63
Herbert Reynolds,Parsippany Hills High,"Parsippany, NJ",FB,63
Hunter Pahl,Del Oro High School,"Loomis, CA",OLB,63
Issac Serwanga,Jesuit High School,"Sacramento, CA",WR,63
Jacob Creech,Boaz High School,"Boaz, AL",OT(LQ),63
James Green,Spruce Creek High School,"Port Orange, FL",RB,63
Jamie Chappell,Dreher High School,"Columbia, SC",TE,63
Jarmaine Jenning,Hayward High School,"Hayward, CA",WR,63
Jeffrey Legree,Fort Hamilton High School,"Brooklyn, NY",QB,63
Jeremy Baltimore,Orange High School,"Orange, NJ",OLB,63
Joe Vellano,Christian Brothers Academy,"Albany, NY",DT,63
Jon Heimler,Menomonie High School,"Menomonie, WI",TE,63
Jordan Jefferson,Palo Alto High School,"Palo Alto, CA",OLB,63
Jordan Kidd,Milford High School,"Highland, MI",S,63
Josh Gossett,T. C. Roberson High School,"Asheville, NC",S,63
Justin Ray,Saint Thomas Aquinas High School,"Louisville, OH",OG,63
Kalonji Paschal,Jefferson High School,"Portland, OR",ATH,63
Karl Winkelman,Los Gatos High School,"Los Gatos, CA",TE,63
Keon Logan,Huguenot High School,"Richmond, VA",OLB,63
Kyle Roddenberry,Crystal River High School,"Crystal River, FL",DE,63
Lamonte Lattimore,Winton Woods High School,"Cincinnati, OH",CB,63
Lee Almanza,Madison West High School,"Houston, TX",OG,63
Leroy Lutu,Mercer Island High School,"Mercer Island, WA",S,63
Luke Loucks,Clearwater High School,"Clearwater, FL",QB,63
Marquez Fields,Norview High School,"Norfolk, VA",RB,63
McClain Parker,Muskegon High School,"Muskegon, MI",OG,63
Michael Kowalczyk,Garfield High School,"Garfield, NJ",DT,63
Montel Nix-Fleming,Walled Lake Western High School,"Walled Lake, MI",ATH,63
Osaze Idumwonyi,Cedar Hill High School,"Cedar Hill, TX",OG,63
Paris Cotton,Hialeah High School,"Hialeah, FL",RB,63
Paul Freeman,Xaverian Brothers High School,"Norwood, MA",FB,63
Robert Glinton,Riverview High School,"Riverview, FL",RB,63
Robert Virgil,Capital Christian School,"Sacramento, CA",RB,63
Rogers Gaines,White House High School,"White House, TN",DT,63
Ryan Misare,Douglas County High School,"Castle Rock, CO",RB,63
Ryan Newsome,Roosevelt High School,"Wyandotte, MI",S,63
Samatre Jones,Mount Miguel High School,"San Diego, CA",CB,63
Sean Egler,Bellefontaine High School,"Bellefontaine, OH",RB,63
Sean Rush,Otay Ranch High School,"Chula Vista, CA",ATH,63
Stephen Ianzito,Cicero-North Syracuse High,"Cicero, NY",WR,63
T.J. Cox,Plainfield High School,"Plainfield, IL",OT,63
Taylor Lokey,Denton High School,"Denton, TX",WR,63
Ulalo Tuulauulo,Pittsburg High School,"Pittsburg, CA",ILB,63
Vini Purcell,Hunter High School,"West Valley City, UT",ILB,63
William McCary,Creekview High School,"Carrollton, TX",DE,63
Wyatt Cahill,Corona Del Sol High School,"Tempe, AZ",DE,63
Xavier Crews,Eufaula High School,"Eufaula, AL",FB,63
Adam Wagner,Defiance High School,"Defiance, OH",QB,64
Alan Buzbee,Seton Hall Preparatory School,"West Orange, NJ",OLB,64
Alex Merlock,Hollowrock-Bruceton Central High Sc,"Bruceton, TN",DE,64
Andy Jimenez,Miami Sunset High School,"Miami, FL",RB,64
Andy Kowicki,Normandy High School,"Parma, OH",OG,64
Areseo Lakey,Edison High School,"Huntington Beach, CA",RB,64
Billy Bair,Mars Area High School,"Mars, PA",RB,64
Blake Cook,Fridley Senior High School,"Fridley, MN",ATH,64
Blake West,Fort Collins High School,"Fort Collins, CO",S,64
Bob Klug,Blue Valley North High School,"Overland Park, KS",TE,64
Brett Tiagwad,Saint Joseph's Prep School,"Philadelphia, PA",WR,64
Caleb Short,Cordova High School,"Cordova, CA",OG,64
Cameron Mai,Spruce Creek High School,"Port Orange, FL",RB,64
Charles Solomon,Spring High School,"Spring, TX",DE,64
Chris Browne,Shaker Heights High School,"Shaker Heights, OH",OT,64
Chris Burnett,Gilman School,"Baltimore, MD",DT,64
Chris Garza,Irving High School,"Irving, TX",ILB,64
Chris Roddy,Hendrickson High School,"Pflugerville, TX",WR,64
Cole Tetreault,Chaparral High School,"Parker, CO",OLB,64
Dan Cebula,Lincoln-Way East High School,"Frankfort, IL",RB,64
Dan Jackson,Mansfield High School,"Mansfield, TX",OLB,64
Danny Godfrey,James Logan High School,"Union City, CA",RB,64
David Turner,Northland High School,"Columbus, OH",ATH,64
De'Andre Vandevender,Trenton High School,"Trenton, MO",ATH,64
DeAngelo Anderson,Fairley High School,"Memphis, TN",CB,64
Demarius Johnson,Pensacola High School,"Pensacola, FL",OLB,64
Deondray Brown,Fremont Ross High School,"Fremont, OH",S,64
Derek Bickford,William S. Hart High School,"Newhall, CA",OG,64
Derek Mundt,Springboro High School,"Springboro, OH",ILB,64
Derek Timms,Chapel Hill High School,"Tyler, TX",OG,64
Derrick Crumpton,Christopher Columbus High School,"Miami, FL",OLB,64
Devin Greene,Chartiers Valley High School,"Bridgeville, PA",OLB,64
Eddie Jones,Myrtle Beach High School,"Myrtle Beach, SC",WR,64
Elliot Taylor,Mount Miguel High School,"San Diego, CA",RB,64
Forest Reed,Shawnee High School,"Shawnee, OK",S,64
Greg Grimes,Inderkum High School,"Sacramento, CA",OG,64
Greyson Konkel,Regis Jesuit High School,"Aurora, CO",OLB,64
Harmon Bruno,San Ramon Valley High School,"Danville, CA",OLB,64
Havelock Pomele,Milpitas High School,"Milpitas, CA",ATH,64
Imari Thompson,Cedar Hill High School,"Cedar Hill, TX",RB,64
J.J. Laseak,Mentor High School,"Mentor, OH",OLB,64
James Taylor,Westwood High School,"Township of Wash, NJ",ILB,64
Jared Hassin,Kettle Moraine High School,"Wales, WI",FB,64
Jarid Jackson,Champlin Park High School,"Champlin, MN",ILB,64
Jason McLean,James Madison High School,"San Antonio, TX",S,64
Jawad Yatim,Shrewsbury High School,"Shrewsbury, MA",QB,64
Jeff Getting,Waukee High School,"Waukee, IA",ATH,64
Jeremy Henderson,Kosciusko High School,"Kosciusko, MS",DE,64
Jesse Lewis,Loveland High School,"Loveland, CO",RB,64
Jesse Mitchell,Westlake High School,"Waldorf, MD",RB,64
Joe Sidaras,William Floyd High School,"Mastic Beach, NY",QB,64
John Alston,Livingston High School,"Livingston, NJ",DE,64
John Hinchey,Kearney High School,"Kearney, MO",WR,64
Jordan Monico,Moanalua High School,"Honolulu, HI",ATH,64
Juandez Brown,Withrow High School,"Cincinnati, OH",QB,64
Justin Monahans,West Linn High School,"West Linn, OR",WR,64
Keith Franklin,Clayton Valley Charter High School,"Concord, CA",RB,64
Ken Stoklosa,Saint Rita High School,"Chicago, IL",ILB,64
Kenneth Frankson,Jack Yates High School,"Houston, TX",DE,64
Kevin Dahl,Hoover High School,"North Canton, OH",OLB,64
Koree Ross,Denver East High School,"Denver, CO",OLB,64
Korentheus Bailey,East Hall High School,"Gainesville, GA",DT(LQ),64
Lars Knudsen,Whitefish Bay High School,"Whitefish Bay, WI",WR,64
Lawrence Walker,Christian High School,"El Cajon, CA",RB,64
Leons Kabango,Gar-Field High School,"Woodbridge, VA",OLB,64
Leroi Edwards,Kentridge High School,"Kent, WA",OC,64
Manny Cutlip,Beaver Area High School,"Beaver, PA",S,64
Markeece Wilson,Hudson Catholic High School,"Jersey City, NJ",OLB,64
Matt Hurd,Hayward High School,"Hayward, CA",DE,64
Matt Markowitz,Bartram Trail High School,"Jacksonville, FL",WR,64
Matt Thomas,Paul G. Blazer High School,"Ashland, KY",RB,64
Matthew Smith,Saint Xavier High School,"Louisville, KY",DT,64
Mike Denison,Walled Lake Central High School,"Walled Lake, MI",FB,64
Mike Niam,Hudson High School,"Hudson, OH",ILB,64
Muka Atiga,Hunter High School,"West Valley City, UT",RB,64
Nick Vuoto,Amador Valley High School,"Pleasanton, CA",S,64
P.J. Beidel,Roswell High School,"Roswell, GA",WR,64
Paul Ostrander,Hopkinton High School,"Hopkinton, MA",WR,64
Reggie Nicholson,Westview High School,"Avondale, AZ",RB,64
Rico King,Whitehaven High School,"Memphis, TN",ATH,64
Ryan Baxter,Saint Paul's Episcopal School,"Mobile, AL",OG,64
Ryan Katz,Santa Monica High School,"Santa Monica, CA",QB,64
Ryan Kuehl,Durango High School,"Las Vegas, NV",RB,64
Stephen Atkinson,Cardinal Gibbons High School,"Fort Lauderdale, FL",S,64
Stephen Young,Gar-Field High School,"Woodbridge, VA",OG,64
Steve Yoder,Washington High School,"Massillon, OH",DE,64
Tanner Burns,Valley Christian High School,"San Jose, CA",S,64
Tommy Curry,John W. North High School,"Riverside, CA",WR,64
Tyler Kenton,Merrill West High School,"Tracy, CA",FB,64
Tyquan Wilson,Independence High School,"Glendale, AZ",RB,64
Vin Fischer,Livingston High School,"Livingston, NJ",WR,64
Vince Weaver,Casa Grande High School,"Petaluma, CA",OT,64
Wylum Bivins,Corsicana High School,"Corsicana, TX",CB,64
Aaron Bakr,Woodrow Wilson High,"Camden, NJ",ILB,65
Aaron Holman,Tallwood High School,"Virginia Beach, VA",CB,65
Adam Wazniewski,Crater High School,"Central Point, OR",TE,65
Alan Williams,Marshall County High School,"Benton, KY",RB,65
Alex Haan,Chicago Christian High School,"Palos Heights, IL",QB,65
Andrew Ellis,Myrtle Beach High School,"Myrtle Beach, SC",QB,65
Austin Day,Foothill High School,"Pleasanton, CA",S,65
Beau Orth,Bishop Gorman High School,"Las Vegas, NV",WR,65
Brad Graham,Katy High School,"Katy, TX",OLB,65
Brandon Ribble,Ralston Valley High School,"Arvada, CO",WR,65
Brenin Brooks,Greenway High School,"Phoenix, AZ",OLB,65
Bryce Peila,Crater High School,"Central Point, OR",S,65
Carnell Evans,St. Vincent-St. Mary High School,"Akron, OH",ILB,65
Chris Crawford,Muskegon High School,"Muskegon, MI",ATH,65
Chris Crockett,The Columbus Academy,"Gahanna, OH",RB,65
Christian Alonso,Los Gatos High School,"Los Gatos, CA",TE,65
Cody Destro,Mogadore High School,"Mogadore, OH",FB,65
Colin Reno,Scarsdale Senior High School,"Scarsdale, NY",RB,65
Colton Floyd,McKinney North High School,"McKinney, TX",OLB,65
Conner Mach,Parkway West High School,"Ballwin, MO",S,65
Corey Brown,Troy High School,"Troy, OH",RB,65
Cornell Ellis,Rockhurst High School,"Kansas City, MO",OLB,65
Cortez McCrary,Orrville High School,"Orrville, OH",ILB,65
Curtis Spann,Pearl High School,"Pearl, MS",RB,65
Damion Whittington,Norco Senior High School,"Norco, CA",OLB,65
D'Angelo Butler,Cheyenne High School,"North Las Vegas, NV",OLB,65
Darryl Stinson,Jackson High School,"Jackson, MI",OLB,65
David Giese,Saint Patrick High School,"Chicago, IL",OLB,65
Derek Keller,Alta High School,"Sandy, UT",OLB,65
Derrick Little,Mount Whitney High School,"Visalia, CA",WR,65
Dex Jones,Montini Catholic High School,"Lombard, IL",OLB,65
Donald Green,Compton High School,"Compton, CA",RB,65
Draylon Booker,Conroe High School,"Conroe, TX",RB,65
Drew Rainwater,Siuslaw High School,"Florence, OR",S,65
Drue Jones,Wadsworth Senior High School,"Wadsworth, OH",S,65
Dwight Armstrong,Castlemont High School,"Oakland, CA",S,65
Edwin Frias,Emerson High School,"Union City, NJ",FB,65
Giovanni Irvine,Hillside High School,"Durham, NC",WR,65
Guy Sergent,Fountain-Ft Carson High School,"Fountain, CO",OLB,65
Howard Drake,Euclid Senior High School,"Euclid, OH",QB,65
Isiah Jackson,Conway High School,"Conway, AR",ATH,65
J.T. Anderson,Matawan Regional High School,"Aberdeen, NJ",ATH,65
James Calhoun,John W. North High School,"Riverside, CA",RB,65
Jamir Livingston,Saint Joseph's Prep School,"Philadelphia, PA",RB,65
Ja'Rodd Watson,La Jolla High School,"La Jolla, CA",FB,65
Jarred Holley,Easton High School,"Easton, PA",WR,65
Jay Matthews,Lake Oswego High School,"Lake Oswego, OR",S,65
Jeff Early,Rockbridge County High School,"Lexington, VA",WR,65
Jeremy McClain,Riverdale High School,"Murfreesboro, TN",RB,65
Jerry Hardeman,Centennial High School,"Corona, CA",OLB,65
Jon Tanis,Hudsonville High School,"Hudsonville, MI",CB,65
Justin Dugger,,,ILB,65
Keion Wade,East Orange Campus High School,"East Orange, NJ",RB,65
Ken Easterly,Austin-East High School,"Knoxville, TN",WR,65
Kenny Youngs,Lansingburgh High School,"Troy, NY",RB,65
Kris Enslen,Caravel Academy,"Bear, DE",OLB,65
Marcus McGraw,Bowie High School,"Arlington, TX",OLB,65
Mark Hogan,Lincoln-Sudbury Regional High Sch.,"Sudbury, MA",ATH,65
Mike Catapano,Chaminade High School,"Bayville, NY",FB,65
Mike Cummings,Chaparral High School,"Scottsdale, AZ",WR,65
Mitchell Wagoner,Hemlock High School,"Hemlock, MI",RB,65
Morgan Mickan,Georgetown High School,"Georgetown, TX",QB,65
Nick Bradford,Mooresville High School,"Mooresville, IN",FB,65
Patrick Kurunwune,L. C. Anderson High School,"Austin, TX",RB,65
Robert Akeo-Orr,Bethel High School,"Spanaway, WA",WR,65
Ryan Revtai,West Allegheny High School,"Imperial, PA",OLB,65
Simmie Yarborough,Brookhaven High School,"Brookhaven, MS",WR,65
Stephen Curtis,Wayne High School,"Huber Heights, OH",RB,65
Steve Aborn,Milton Academy,"Milton, MA",TE,65
Tahj Paden,Nottingham High School,"Nottingham, NJ",OLB,65
Tim Kamczyc,Strongsville High School,"Strongsville, OH",QB,65
Tony Zaccarelli,Westlake High School,"Waldorf, MD",TE,65
Tyler Groves,Toms River East High School,"Toms River, NJ",ILB,65
A.J. Miller,Mansfield High School,"Mansfield, TX",CB,66
Adam Currie,Evangelical Christian School,"Cordova, TN",QB,66
Adonis Adonakis,Walled Lake Central High School,"Walled Lake, MI",ILB,66
Alex Alsop,Gainesville High School,"Gainesville, FL",WR,66
Alex Gedeon,Hudson High School,"Hudson, OH",ILB,66
Alex Melson,Grant High School,"Portland, OR",OLB,66
Alex Pattee,Hollywood Hills High School,"Hollywood, FL",OLB,66
Allen Smith,W. J. Keenan High School,"Columbia, SC",DE,66
Andrew Abbott,Mater Dei High School,"Santa Ana, CA",CB,66
Ashton Burno,Susquehanna Township High School,"Harrisburg, PA",OLB,66
Aubrey Haynes,Diamond Ranch High School,"Pomona, CA",RB,66
Austin Hill,Los Alamitos High School,"Los Alamitos, CA",OT,66
Beau Gardner,Mesa High School,"Mesa, AZ",TE,66
Bernard Griffin,Compton High School,"Compton, CA",S,66
Bill Hall,Uniontown High School,"Uniontown, PA",OT,66
Brandon Green,Rainier Beach High School,"Seattle, WA",OLB,66
Brandon Turner,Kentridge High School,"Kent, WA",WR,66
Brian Echols,Hamady High School,"Flint, MI",WR,66
Bryan Youman,East Ridge High School,"Clermont, FL",WR,66
Bryon King,Kingsway High School,"Woolwick Township, NJ",ATH,66
Caleb Mitchell,Russellville High School,"Russellville, AL",ATH,66
Cameron Wright,Ralston Valley High School,"Arvada, CO",QB,66
Casey McGurdy,Tokay High School,"Lodi, CA",QB,66
Chad Davis,Palma High School,"Salinas, CA",ILB,66
Chad Keppler,Ellet High School,"Akron, OH",QB,66
Charles Rancifer,Brookhaven High School,"Brookhaven, MS",QB,66
