Name,High School Attended,Hometown,Position,Rating
Chris Tolliver,Rayville High School,"Rayville, LA",WR,82
Karnell Hatcher,Atlantic Community High School,"Delray Beach, FL",S,82
Brandon Barnes,Bunn High School,"Bunn, NC",ATH,82
Michael Mauti,Mandeville High School,"Mandeville, LA",ILB,82
Andrew Luck,Stratford High School,"Houston, TX",QB,82
Cyrus Gray,DeSoto High School,"Dallas, TX",RB,82
Antoine Hicks,Timberview High School,"Arlington, TX",ATH,82
Mike Adams,Dublin Coffman High School,"Dublin, OH",OT,82
J.B. Shugarts,Klein High School,"Spring, TX",OT,82
DeVoe Torrence,Washington High School,"Massillon, OH",ATH,82
Tyler Wilson,Greenwood High School,"Greenwood, AR",QB,82
De'Anthony Curtis,Camden-Fairview High School,"Camden, AR",RB,82
T.J. Lawrence,Kathleen High School,"Lakeland, FL",WR,82
Lerentee McCray,Dunnellon Senior High School,"Dunnellon, FL",OLB,82
Jeff Demps,South Lake High School,"Groveland, FL",ATH,82
Carlton Thomas,Frostproof High School,"Frostproof, FL",RB,82
Jordan Futch,Chaminade-Madonna College Prep,"Hollywood, FL",OLB,82
Davon Johnson,Booker T. Washington High School,"Miami, FL",WR,82
Aldarius Johnson,Miami Northwestern High School,"Miami, FL",WR,82
Ramon Buchanan,Palm Bay High School,"Melbourne, FL",OLB,82
Darryl Stonum,Dulles High School,"Stafford, TX",WR,82
Dann O'Neill,Grand Haven High School,"Grand Haven, MI",OT,82
Jonas Gray,Detroit Country Day School,"Pontiac, MI",RB,82
Ethan Johnson,Lincoln High School,"Portland, OR",DE,82
Jamoris Slaughter,Tucker High School,"Stone Mountain, GA",S,82
Jameel Owens,Muskogee High School,"Muskogee, OK",WR,82
Stephen Good,Paris High School,"Paris, TX",OT,82
Charles Whitlock,Chester High School,"Chester, SC",CB,82
D.J. Shoemate,Servite High School,"Mira Loma, CA",ATH,82
Matt Kalil,Servite High School,"Anaheim, CA",OT,82
Khaled Holmes,Mater Dei High School,"Santa Ana, CA",OG,82
Rod Wilks,Smyrna High School,"Smyrna, TN",WR,82
David Snow,Gilmer High School,"Gilmer, TX",OG,82
Jarvis Humphrey,Cedar Hill High School,"Cedar Hill, TX",DT,82
Kavario Middleton,Lakes High School,"Lakewood, WA",TE,82
Charles Deas,Milford Academy,"Fort Lauderdale, FL",DT(POST),82
Gerell Robinson,Hamilton High School,"Chandler, AZ",ATH,81
Neiko Thorpe,Tucker High School,"Tucker, GA",CB,81
Kendall Wright,Pittsburg High School,"Pittsburg, TX",ATH,81
DeAngelo Benton,Hargrave Military Academy,"Bastrop, LA",WR(POST),81
Charles Mitchell,Clarksdale High School,"Clarksdale, MS",ATH,81
Kye Staley,Guthrie High School,"Guthrie, OK",RB,81
Derrick Hall,Central High School,"Beaumont, TX",ATH,81
Travis Howard,Dr. Krop High School,"Miami, FL",CB,81
Jake Stoneburner,Dublin Coffman High School,"Dublin, OH",TE,81
Tim Lamb,Hargrave Military Academy,"Tallahassee, FL",DT(POST),81
Mark Ingram,Southwestern Academy,"Flint, MI",RB,81
Kerry Murphy,Hargrave Military Academy,"Bessemer, AL",DT(POST),81
Jerrell Harris,Gadsden High School,"Gadsden, AL",OLB,81
Nick Crissman,Edison High School,"Huntington Beach, CA",QB,81
Anthony Dye,Santiago High School,"Corona, CA",CB,81
E.J. Woods,Crespi Carmelite High School,"Culver City, CA",S,81
Jon Major,Ponderosa High School,"Parker, CO",ILB,81
Matthew Patchan,Armwood High School,"Tampa, FL",OT,81
Brendan Beal,Liberty High School,"Bethlehem, PA",ILB,81
Toby Jackson,Griffin High School,"Griffin, GA",DE,81
A.J. Harmon,Jefferson County High School,"Louisville, GA",OG,81
Patrick Nixon,Middleburg High School,"Jacksonville, FL",CB,81
Kenny Tate,DeMatha Catholic High School,"Forestville, MD",WR,81
Marcus Robinson,Homestead Senior High School,"Homestead, FL",OLB,81
Taylor Cook,Rice High School,"Eagle Lake, TX",QB,81
C.J. Holton,Wakulla County High School,"Crawfordville, FL",S,81
Brandon Moore,Trotwood-Madison High School,"Trotwood, OH",TE,81
Keanon Cooper,Skyline High School,"Dallas, TX",OLB,81
Baker Steinkuhler,Lincoln Southwest High School,"Lincoln, NE",OT,81
Dwight Jones,,"Burlington, NC",WR(POST),81
Christian Wilson,Montour High School,"Mckees Rocks, PA",OLB,81
Braxston Cave,Penn High School,"Granger, IN",OC,81
Kyle Rudolph,Elder High School,"Cincinnati, OH",TE,81
Steve Filer,Mount Carmel High School,"Dolton, IL",ILB,81
Deion Walker,Christchurch School,"Christchurch, VA",WR,81
Darius Fleming,Saint Rita High School,"Chicago, IL",DE,81
Landry Jones,Artesia High School,"Artesia, NM",QB,81
Daniel Franklin,Habersham Central High School,"Clarkesville, GA",ILB,81
Justin Johnson,Gilmer High School,"Gilmer, TX",RB,81
Chris Harper,Northwest High School,"Wichita, KS",ATH,81
Chris Burns,Wilmington Area High School,"New Wilmington, PA",RB,81
Luke Nix,Thomas Jefferson High School,"Jefferson Hills, PA",OT,81
Shayne Hale,Gateway High School,"Monroeville, PA",ILB,81
Tyron Smith,Rancho Verde High School,"Moreno Valley, CA",OT,81
Nick Perry,Mackenzie High School,"Detroit, MI",DE,81
Uona Kaveinga,Leuzinger High School,"Lawndale, CA",ILB,81
Matt Meyer,Lincoln High School,"Stockton, CA",OT,81
Emmanuel Acho,Saint Mark's School,"Dallas, TX",OLB,81
Nolan Brewster,J. K. Mullen High School,"Littleton, CO",OLB,81
DeSean Hales,Klein Oak High School,"Spring, TX",WR,81
Jordan Fields,Paris High School,"Paris, TX",CB,81
Kyle Long,St. Anne's-Belfield School,"Charlottesville, VA",OT,81
Ryan Bass,Centennial High School,"Corona, CA",RB,80
Jamaar Jarrett,Mission Hills High School,"San Marcos, CA",DE,80
Reggie Hunt,Daphne High School,"Daphne, AL",RB,80
Eric Smith,Armwood High School,"Seffner, FL",RB,80
Kelly Page,Mesquite High School,"Sunnyvale, TX",QB,80
Kenneth Page,A. C. Flora High School,"Columbia, SC",OG,80
Marquan Jones,Blythewood High School,"Blythewood, SC",WR,80
Jonathan Willard,Loris High School,"Loris, SC",OLB,80
Tarik Rollins,Chaminade-Madonna College Prep,"Hollywood, FL",OLB,80
Donovan Varner,Gulliver Prep School,"Miami, FL",ATH,80
Adrian Jones,Scotland High School,"Laurinburg, NC",RB,80
Marquan Brown,Grays Creek High School,"Hope Mills, NC",RB,80
Franklin Green,Jenkins High School,"Savannah, GA",RB,80
Malcolm Munroe,Coral Reef High School,"Miami, FL",ATH,80
Tony Gillespie,Jenks High School,"Tulsa, OK",DT,80
Ryan Baker,Blountstown High School,"Blountstown, FL",OLB,80
Chase Clement,Edward Douglas White Catholic High School,"Thibodaux, LA",TE,80
Brandon Taylor,Franklinton High School,"Franklinton, LA",ATH,80
Jordan Jefferson,Destrehan High School,"Destrehan, LA",QB,80
Tyler Edwards,Ouachita Parish High School,"Monroe, LA",TE,80
Martin Ward,Mount Zion High School,"Jonesboro, GA",RB,80
Alonzo Landry,Carencro High School,"Lafayette, LA",RB,80
Fred Smith,Southeastern High School,"Detroit, MI",WR,80
Templeton Hardy,North Panola High School,"Como, MS",DT,80
Mario Carter,Independence High School,"Charlotte, NC",TE,80
Quentin Williams,Central Catholic High School,"Pittsburgh, PA",TE,80
Marcus Witherspoon,Holy Spirit High School,"Absecon, NJ",OLB,80
Malcolm Johnson,Bartow High School,"Bartow, FL",WR,80
Rodrick Davis,Dwight D. Eisenhower High School,"Houston, TX",DT,80
Andrew Wolridge,Lexington High School,"Lexington, TX",DE,80
Jeff Fuller,McKinney High School,"McKinney, TX",WR,80
DeVier Posey,La Salle High School,"Cincinnati, OH",WR,80
Garrett Goebel,Montini Catholic High School,"Villa Park, IL",DT,80
Lamaar Thomas,Friendly Senior High School,"Fort Washington, MD",ATH,80
Alonzo Lawrence,George County High School,"Lucedale, MS",CB,80
Mark Barron,Saint Paul's Episcopal School,"Mobile, AL",ATH,80
Chris Jackson,Henry County High School,"McDonough, GA",ATH,80
Chris Jordan,Brentwood High School,"Columbia, TN",OLB,80
Melvin Ray,North Florida Christian High School,"Tallahassee, FL",WR,80
Devonta Bolton,Norcross High School,"Norcross, GA",WR,80
Destin Hood,Saint Paul's Episcopal School,"Mobile, AL",WR,80
Robby Green,John Curtis Christian High School,"River Ridge, LA",CB,80
Solomon Koehler,Castle High School,"Kaneohe, HI",DT,80
Vaughn Dotsy,Saint Bonaventure High School,"Ventura, CA",OG,80
Jerico Nelson,Destrehan High School,"Destrehan, LA",ATH,80
Marvin Jones,Etiwanda High School,"Etiwanda, CA",WR,80
Jeff Locke,Mountain Ridge High School,"Glendale, AZ",K,80
Cory Harkey,Chino High School,"Chino Hills, CA",TE,80
Lynn Katoa,Cottonwood High School,"Salt Lake City, UT",OLB,80
Max Tuioti-Mariner,Corona Senior High School,"Corona, CA",OG,80
Omarius Hines,Corsicana High School,"Corsicana, TX",WR,80
Frankie Hammond Jr.,Hallandale High School,"Hallandale Beach, FL",WR,80
Jeremy Brown,Boone High School,"Orlando, FL",CB,80
Caleb Sturgis,Saint Augustine High School,"Saint Augustine, FL",K,80
Benjamin Jones,Bibb County High School,"Centreville, AL",OC,80
Dontavius Jackson,Heard County High School,"Franklin, GA",RB,80
Tavarres King,Habersham Central High School,"Mount Airy, GA",WR,80
Christian Robinson,Greater Atlanta Christian School,"Norcross, GA",OLB,80
Alfred Jenkins,Terry Parker High School,"Jacksonville, FL",WR,80
Jack Ramsey,Simeon Career Academy,"Chicago, IL",ATH,80
John Wienke,Tuscola High School,"Tuscola, IL",QB,80
Darius Parish,Wichita North High School,"Wichita, KS",DT,80
Aaron Boyd,Henry Clay Senior High School,"Lexington, KY",WR,80
Luther Ambrose,Saint James High School,"Saint James, LA",RB,80
Kerry Boykins,Oscar Frommel Smith High School,"Chesapeake, VA",WR,80
Tommy Streeter,Miami Northwestern High School,"Miami, FL",WR,80
Travis Benjamin,Glades Central High School,"Belle Glade, FL",WR,80
Thearon Collier,Booker T. Washington High School,"Miami, FL",WR,80
Mike Martin,Catholic Central High School,"Redford, MI",DT,80
Terrence Robinson,Klein Oak High School,"Klein, TX",ATH,80
Ricky Barnum,Lake Gibson High School,"Lakeland, FL",OG,80
J.B. Fitzgerald,West Windsor Plainsboro High School,"West Windsor, NJ",OLB,80
MarQueis Gray,Ben Davis High School,"Indianapolis, IN",QB,80
Josh Williams,Denton High School,"Denton, TX",DE,80
Robert Quinn,Fort Dorchester High School,"North Charleston, SC",DE,80
Trevor Robinson,Elkhorn High School,"Elkhorn, NE",OG,80
Danny McCarthy,Cardinal Mooney High School,"Youngstown, OH",ATH,80
James Hanna,Flower Mound High School,"Flower Mound, TX",TE,80
Lamar Harris,Gilmer High School,"Gilmer, TX",WR,80
Joseph Ibiloye,South Garland High School,"Garland, TX",OLB,80
DeJuan Miller,Metuchen High School,"Metuchen, NJ",WR,80
Darron Thomas,Aldine High School,"Aldine, TX",ATH,80
LaMichael James,Liberty-Eylau High School,"Texarkana, TX",RB,80
Tino Sunseri,Central Catholic High School,"Pittsburgh, PA",QB,80
Shaq Wilson,First Coast High School,"Jacksonville, FL",OLB,80
Demetris Murray,Buford High School,"Buford, GA",RB,80
Jurrell Casey,Long Beach Polytechnic High School,"Long Beach, CA",DT,80
Drew McAllister,Monte Vista High School,"Alamo, CA",ATH,80
Tauren Poole,Stephens County High School,"Toccoa, GA",RB,80
Mark Buchanan,Stephen F. Austin High School,"Austin, TX",OT,80
Dravannti Johnson,Nederland High School,"Nederland, TX",OLB,80
Allen Carroll,McClymonds High School,"Oakland, CA",OG,80
Tyler Westphal,Menasha High School,"Menasha, WI",DE,80
Eddie Whitley,Butler High School,"Matthews, NC",CB,80
Josh Jenkins,Parkersburg High School,"Vienna, WV",OG,80
Cameron Demps,Peachtree Ridge High School,"Suwanee, GA",CB,80
Damion Allen,Dr. Phillips High School,"Orlando, FL",WR,80
Jarrell Barbour,Centennial High School,"Peoria, AZ",ATH,79
Marcus Jemison,McAdory High School,"McCalla, AL",S,79
Chrisitan Thompson,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",S,79
Harry Adams,Dillard High School,"Fort Lauderdale, FL",WR,79
Cameron Henderson,Shades Valley High School,"Birmingham, AL",DE,79
Deshaun Barnes,Lincoln High School,"Tallahassee, FL",S(LQ),79
Onterrio McCalebb,Fort Meade Senior High School,"Fort Meade, FL",RB,79
Nick Florence,South Garland High School,"Garland, TX",QB,79
Okechuckwu Okoroha,Eleanor Roosevelt High School,"Greenbelt, MD",S,79
Chris Pantale,Wayne Valley High School,"Wayne, NJ",ATH,79
Josh Haden,Friendly Senior High School,"Fort Washington, MD",RB,79
Ugo Okpara,Dulles High School,"Sugar Land, TX",CB,79
Austin Holt,Bingham High School,"South Jordan, UT",TE,79
Jonathan Gaye,J. K. Mullen High School,"Denver, CO",RB,79
Everett Dawkins,James Byrnes High School,"Duncan, SC",DE,79
Zebrie Sanders,Northmont Senior High School,"Clayton, OH",OT,79
Jarmon Fortson,Carver High School,"Columbus, GA",WR,79
Sedrick Johnson,Arp High School,"Arp, TX",WR,79
Greg Shaw,Monsignor Edward Pace High School,"Miami, FL",OT,79
Rocky Duplessis,Belle Chasse High School,"Belle Chasse, LA",S,79
P.J. Lonergan,Archbishop Rummel School For Boys,"New Orleans, LA",OT,79
Matt Branch,Sterlington High School,"Monroe, LA",TE,79
Rolando Melancon,Lutcher High School,"Lutcher, LA",DT(LQ),79
O'Neal Wilder,Carthage High School,"Carthage, MS",WR(LQ),79
Terrell Manning,Scotland High School,"Laurinburg, NC",OLB,79
R.J. Mattes,J. M. Robinson High School,"Concord, NC",OT,79
Tobias Palmer,Northwood High School,"Pittsboro, NC",ATH,79
Markelle Martin,Rider High School,"Wichita Falls, TX",S,79
D'Anton Lynn,Celina High School,"Celina, TX",S,79
Michael Zordich Jr.,Cardinal Mooney High School,"Youngstown, OH",ILB,79
A.J. Price,South Lakes High School,"Reston, VA",WR,79
Jonathan Meyers,Greenwich High School,"Greenwich, CT",ILB,79
Ralph Bolden,Charlton County High School,"Folkston, GA",RB,79
Art Forst,Manasquan High School,"Manasquan, NJ",OT,79
D.C. Jefferson,Winter Haven High School,"Winter Haven, FL",QB,79
Chase Thomas,Walton High School,"Marietta, GA",DE,79
Averin Collier,Churchville Chili High School,"Churchville, NY",RB,79
Jeffrey Hyde,Covenant Christian Academy,"Colleyville, TX",OT,79
Nic DiLillo,Madison High School,"Madison, OH",TE,79
Nathan Williams,Miami Trace High School,"Washington Court House, OH",OLB,79
Willie Mobley,Eden Prairie High,"Eden Prairie, MN",DE,79
Darius Morgan,North Marion High School,"Citra, FL",WR,79
Teavis Durgin,Daphne High School,"Daphne, AL",OT,79
Ryan Griffin,Chaminade College Prep School,"West Hills, CA",QB,79
Damion Square,Jack Yates High School,"Houston, TX",DE,79
Michael Williams,Pickens County High School,"Reform, AL",DE,79
Ivan Matchett,Saint Paul's Episcopal School,"Mobile, AL",RB,79
Star Jackson,Lake Worth Community High School,"Lake Worth, FL",QB,79
Don'ta Hightower,Marshall County High School,"Lewisburg, TN",DE,79
Brandon Lewis,Pleasant Valley High School,"Pleasant Valley, AL",DE,79
John Michael Boswell,Tuscaloosa County High School,"Northport, AL",OT,79
Robert Golden,Edison High School,"Fresno, CA",CB,79
Albert Gary,North Marion High School,"Citra, FL",RB,79
Cruz Williams,Pulaski Academy,"Little Rock, AR",WR,79
Greg Childs,Warren High School,"Warren, AR",WR,79
Jarius Wright,Warren High School,"Warren, AR",WR,79
J.P. Hurrell,Serra High School,"San Mateo, CA",OLB,79
Spencer Ladner,Pembroke Hill School,"Kansas City, MO",TE,79
Aaron Hester,Dominguez High School,"Compton, CA",CB,79
Rahim Moore,Dorsey High School,"Los Angeles, CA",S,79
Datone Jones,Compton High School,"Los Angeles, CA",DE,79
Brandon Davis,Peachtree Ridge High School,"Suwanee, GA",RB,79
Byran Jones,Forrest High School,"Jacksonville, FL",OG,79
Adrian Bushell,DeSoto High School,"DeSoto, TX",CB,79
Xavier Avery,Cedar Grove High School,"Decatur, GA",RB,79
Jonathan Owens,Susan Moore High School,"Blountsville, AL",OT,79
Marcus Dowtin,Fork Union Military Academy,"Fork Union, VA",OLB,79
Sanders Commings Jr.,Westside High School,"Augusta, GA",ATH,79
Bacarri Rambo,Seminole County Middle-High School,"Donalsonville, GA",ATH,79
Hubie Graham,West Scranton High School,"Scranton, PA",TE,79
Corey Liuget,Hialeah High School,"Hialeah, FL",DE,79
Masengo Kabongo,Fairfield College Prep School,"Fairfield, CT",DT,79
Brandon Washington,Miami Northwestern High School,"Miami, FL",OG,79
Jeremy Lewis,Palm Beach Lakes High School,"West Palm Beach, FL",DT,79
Jacory Harris,Miami Northwestern High School,"Miami, FL",QB,79
Laron Byrd,Hahnville High School,"Hahnville, LA",WR,79
Vaughn Telemaque,Long Beach Polytechnic High School,"Long Beach, CA",S,79
Sam McGuffie,Cy-Fair High School,"Cypress, TX",RB,79
Brandon Green,Paul Robeson High School,"Chicago, IL",WR,79
Gahn McGaffie,Galena Park High School,"Galena Park, TX",ATH,79
Andrew Jones,Smithville High School,"Smithville, MO",TE,79
Kenji Jackson,Mansfield High School,"Mansfield, TX",S,79
Collins Okafor,Westside High School,"Omaha, NE",RB,79
Sean Fisher,Millard North High School,"Omaha, NE",OLB,79
Zach Brown,Hargrave Military Academy,"Columbia, MD",OLB(POST),79
Riley Dodge,Carroll High School,"Southlake, TX",QB,79
Mike Golic Jr.,Northwest Catholic High School,"Avon, CT",OC,79
Brandon Newman,Pleasure Ridge Park High School,"Louisville, KY",DT,79
Sean Cwynar,Marian Central Catholic High,"McHenry, IL",DT,79
Joseph Fauria,Crespi Carmelite High School,"Encino, CA",TE,79
David Posluszny,Hopewell High School,"Aliquippa, PA",OLB,79
Anthony McDonald,Notre Dame High School,"Burbank, CA",OLB,79
Lane Clelland,McDonogh School,"Reisterstown, MD",OG,79
John Goodman,Bishop Dwenger High School,"Fort Wayne, IN",WR,79
Kapron Lewis-Moore,Weatherford High School,"Weatherford, TX",DE,79
Hafis Williams,Elizabeth High School,"Elizabeth, NJ",DT,79
Ben Habern,Liberty Christian School,"Argyle, TX",OC,79
Stacey McGee,Muskogee High School,"Muskogee, OK",DT,79
Kenjon Barner,Notre Dame High School,"Riverside, CA",RB,79
Daniel Campbell,Aldine High School,"Houston, TX",OT,79
Maurice Simmons,Dominguez High School,"Compton, CA",OLB,79
Brian Baucham,Torrance High School,"Torrance, CA",ATH,79
Curtis McNeal,Venice High School,"Los Angeles, CA",RB,79
Desmond Johnson,Yazoo City High School,"Yazoo City, MS",RB,79
Aaron Douglas,Maryville High School,"Maryville, TN",TE,79
E.J. Abrams-Ward,Thomasville High School,"Thomasville, NC",OLB,79
Jeremy Hills,Elsik High School,"Houston, TX",RB,79
Ryan Roberson,Brenham High School,"Brenham, TX",OLB,79
Justin Tucker,Westlake High School,"Austin, TX",K,79
Aaron Williams,McNeil High School,"Austin, TX",S,79
Blake Gideon,Leander High School,"Leander, TX",S,79
Corey Trisby,Herbert Hoover High School,"San Diego, CA",QB,79
John Flanders,Midwest City High School,"Midwest City, OK",RB,79
Erik Smith,Bolingbrook High School,"Bolingbrook, IL",RB,79
Curt Phillips,Sullivan South High School,"Kingsport, TN",QB,79
Leonard Hubbard,Sacred Heart-Griffin High School,"Springfield, IL",ILB,79
Anthony Mains,Golden Gate High School,"Naples, FL",DE,79
Nick Becton,New Hanover High School,"Wilmington, NC",OT,79
Dwight Tucker,Oviedo High School,"Oviedo, FL",DE,79
Vinston Painter,Maury High School,"Norfolk, VA",OT,79
Allen Stephens,Halifax County High School,"South Boston, VA",ILB,79
Lorenzo Williams,Westover High School,"Fayetteville, NC",S,79
British Footman,Godby High School,"Tallahassee, FL",RB,79
Kyrhi Thornton,Bay High School,"Panama City, FL",DT,79
Deries Hodge,,"Harrisburg, PA",RB(POST),79
Anthony Bibbs,Jersey Village High,"Houston, TX",RB,79
Andrew Sampson,Overland High School,"Aurora, CO",OG,78
Kemonte Bateman,Crenshaw High School,"Los Angeles, CA",WR,78
Kyle Johnson,Norco Senior High School,"Norco, CA",OT,78
Zach Schlink,Centennial High School,"Peoria, AZ",OG,78
Patrick Jamison,Hamilton High School,"Chandler, AZ",OT,78
Lawrence Guy,Western High School,"Las Vegas, NV",DT,78
DeRon Furr,Carver High School,"Columbus, GA",QB,78
Ken Adams,Enterprise High School,"Enterprise, AL",TE,78
Andre Wadley,Hernando High School,"Hernando, MS",DE,78
Xavier Stinson,Chaminade-Madonna College Prep,"Miami, FL",RB,78
Kaleb Ramsey,Laurel Highlands High School,"Uniontown, PA",DE,78
Daniel Sorensen,Colton High School,"Colton, CA",S,78
Carlton Lewis,Saint Augustine High School,"Saint Augustine, FL",S,78
Dawson Zimmerman,Brookwood High School,"Snellville, GA",K,78
Brandon Ford,Hanahan High School,"Hanahan, SC",WR,78
Dalton Freeman,Pelion High School,"Pelion, SC",OG,78
Spencer Benton,Myrtle Beach High School,"Myrtle Beach, SC",K,78
Matt Daniels,Fayette County High School,"Fayetteville, GA",S,78
A.J. Alexander,Altoona Area High School,"Altoona, PA",ATH,78
David Spurlock,Riverdale High School,"Murfreesboro, TN",OG,78
Moses McCray,Hillsborough High School,"Tampa, FL",DT,78
Vincent Williams,Central High School,"Davenport, FL",OLB,78
Omoregie Uzzi,Chamblee High School,"Chamblee, GA",OG,78
Richard Watson,Florida A&M; Developmental Research School,"Tallahassee, FL",RB,78
Darius Willis,Franklin Central High School,"Indianapolis, IN",RB,78
Tandon Doss,Ben Davis High School,"Indianapolis, IN",WR,78
Jarell Childs,Oak Park High School,"Kansas City, MO",RB,78
Ryan St. Julien,Catholic High School,"New Iberia, LA",CB,78
Thomas Parsons,Smithson Valley High School,"Spring Branch, TX",OG,78
Gabriel Bryant,Jonesboro-Hodge High School,"Jonesboro, LA",WR(LQ),78
Ahmed Shakoor,Stephenson High School,"Stone Mountain, GA",CB,78
Steve Gardiner,Dublin Coffman High School,"Dublin, OH",ILB,78
Charles Burrell,Southeastern High School,"Detroit, MI",ATH,78
Bo Walters,Briarwood Christian School,"Birmingham, AL",OLB,78
Baker Swedenburg,Heritage Academy,"Columbus, MS",K,78
Leandre Lance,First Coast High School,"Jacksonville, FL",OLB,78
Marty Everett,South Sumter High School,"Bushnell, FL",DT,78
T.J. Graham,Wakefield High School,"Raleigh, NC",WR,78
William Beasley,Milton High School,"Milton, FL",ILB,78
Neal Deiters,York High School,"Elmhurst, IL",OT,78
Jamal Mosley,Kingsbury High School,"Memphis, TN",TE,78
Mark Wedderburn,Cardinal O'Hara High School,"Springfield, PA",TE,78
Matt Stankiewitch,Blue Mountain High School,"Schuylkill Haven, PA",OC,78
Michael Yancich,Trinity High School,"Washington, PA",OLB,78
Brandon Beachum,Cardinal Mooney High School,"Youngstown, OH",ILB,78
Duriel Harris,Channelview High School,"Channelview, TX",WR,78
Carson Wiggs,South Grand Prairie High School,"Grand Prairie, TX",K,78
Scott Vallone,Saint Anthony's High School,"Melville, NY",DT,78
David Rowe,Cocoa High School,"Cocoa, FL",S,78
Keith Stroud,Fork Union Military Academy,"Brooklyn, NY",WR(POST),78
Chris Owusu,Oaks Christian High School,"Westlake Village, CA",WR,78
Jonathan Martin,Harvard Westlake High School,"North Hollywood, CA",OT,78
Fred Craig,Saint Xavier High School,"Cincinnati, OH",S,78
David DeCastro,Bellevue High School,"Bellevue, WA",OC,78
Tommy Dorman,Birdville High School,"North Richland Hills, TX",QB,78
Keon Furtch,Paris High School,"Paris, TX",S,78
K.J. Williams,Norman North High School,"Norman, OK",DE,78
Chris Scott,Southern University Lab,"Baton Rouge, LA",S,78
Terry McDaniel,New Diana High School,"Diana, TX",OT,78
Harrison Jeffers,Eisenhower High School,"Lawton, OK",RB,78
Joey Fowler,Westmoore High School,"Oklahoma City, OK",DE,78
Jacoby Thomas,Murphy High School,"Mobile, AL",OLB,78
A.J. Wallerstein,Canyon High School,"Canyon Country, CA",OG,78
Wesley Neighbors,Huntsville High School,"Huntsville, AL",S,78
Barrett Jones,Evangelical Christian School,"Memphis, TN",OT,78
Keola Antolin,Bishop Gorman High School,"Las Vegas, NV",RB,78
